col,n_unique
Neighborhood,25
Exterior2nd,16
Exterior1st,15
Condition1,9
SaleType,9
HouseStyle,8
RoofMatl,8
Condition2,8
Functional,7
BsmtFinType2,6
RoofStyle,6
BsmtFinType1,6
SaleCondition,6
Heating,6
Foundation,6
GarageType,6
ExterCond,5
LotConfig,5
MSZoning,5
GarageCond,5
GarageQual,5
HeatingQC,5
Electrical,5
BldgType,5
FireplaceQu,5
LandContour,4
LotShape,4
KitchenQual,4
MiscFeature,4
Fence,4
BsmtCond,4
ExterQual,4
BsmtExposure,4
BsmtQual,4
LandSlope,3
PoolQC,3
GarageFinish,3
PavedDrive,3
MasVnrType,3
Utilities,2
Alley,2
Street,2
CentralAir,2
