,0
PoolQC,1453
MiscFeature,1406
Alley,1369
Fence,1179
MasVnrType,872
FireplaceQu,690
LotFrontage,259
GarageQual,81
GarageYrBlt,81
GarageFinish,81
GarageType,81
GarageCond,81
BsmtExposure,38
BsmtFinType2,38
BsmtQual,37
BsmtFinType1,37
BsmtCond,37
MasVnrArea,8
Electrical,1
HouseStyle,0
BldgType,0
Condition2,0
Condition1,0
Neighborhood,0
LandSlope,0
LotConfig,0
Utilities,0
LandContour,0
LotShape,0
Street,0
MSZoning,0
LotArea,0
Id,0
MSSubClass,0
OverallQual,0
ExterCond,0
BsmtFinSF2,0
ExterQual,0
TotalBsmtSF,0
Heating,0
HeatingQC,0
BsmtFinSF1,0
Exterior2nd,0
Exterior1st,0
RoofMatl,0
RoofStyle,0
YearBuilt,0
Foundation,0
YearRemodAdd,0
OverallCond,0
FullBath,0
BsmtHalfBath,0
BsmtFullBath,0
GrLivArea,0
LowQualFinSF,0
2ndFlrSF,0
1stFlrSF,0
CentralAir,0
BsmtUnfSF,0
Fireplaces,0
TotRmsAbvGrd,0
KitchenQual,0
BedroomAbvGr,0
Functional,0
KitchenAbvGr,0
HalfBath,0
PavedDrive,0
GarageArea,0
GarageCars,0
WoodDeckSF,0
3SsnPorch,0
EnclosedPorch,0
PoolArea,0
OpenPorchSF,0
ScreenPorch,0
MiscVal,0
MoSold,0
YrSold,0
SaleType,0
SaleCondition,0
SalePrice,0
SalePrice_log,0
